id,region,area_by_m2,width_of_facade,width_of_road,is_legal,price
01203,Đạ Tẻh,188,7,6,0,2.46
01204,Bảo Lâm,73,11,7,0,8.58
01205,Đam Rông,239,10,5,1,10.73
01206,Lâm Hà,199,5,10,1,2.51
01207,Đức Trọng,58,7,15,1,4.56
01208,Đà Lạt,118,5,5,0,8.45
01209,Đà Lạt,247,10,5,0,1.82
01210,Cát Tiên,119,12,11,0,10.35
01211,Bảo Lâm,217,12,11,1,11.14
01212,Bảo Lâm,203,11,12,0,9.84
01213,Di Linh,250,13,10,1,3.84
01214,Đạ Tẻh,64,14,12,1,4.31
01215,Đam Rông,249,10,12,1,5.04
01216,Đơn Dương,177,12,15,1,13.03
01217,Cát Tiên,117,14,14,1,11.4
01218,Đam Rông,91,14,12,0,13.0
01219,Lâm Hà,144,15,10,0,9.69
01220,Cát Tiên,68,15,8,0,4.15
01221,Đạ Tẻh,141,8,13,0,13.55
01222,Lạc Dương,184,9,13,1,2.78
01223,Cát Tiên,145,14,11,0,8.13
01224,Đạ Huoai,110,13,10,0,6.2
01225,Đạ Huoai,202,15,5,1,8.24
01226,Đam Rông,167,8,12,0,6.06
01227,Lạc Dương,106,7,11,0,4.28
01228,Đà Lạt,113,9,10,0,5.45
01229,Đạ Tẻh,237,7,10,1,2.05
01230,Cát Tiên,196,13,13,0,13.71
01231,Đạ Tẻh,52,9,9,1,10.98
01232,Đà Lạt,135,14,14,1,9.76
01233,Đạ Tẻh,108,15,7,0,7.64
01234,Lạc Dương,72,5,11,0,13.19
01235,Đạ Huoai,194,14,6,0,9.7
01236,Đạ Huoai,78,10,12,1,7.34
01237,Bảo Lộc,169,7,12,1,7.65
01238,Đạ Tẻh,50,11,6,0,11.64
01239,Di Linh,152,6,7,0,3.34
01240,Lâm Hà,210,15,10,0,11.0
01241,Bảo Lâm,134,12,5,0,13.19
01242,Lâm Hà,184,11,8,0,13.27
01243,Lạc Dương,140,13,13,1,13.63
01244,Đơn Dương,201,5,8,1,8.61
01245,Đơn Dương,154,15,6,1,14.33
01246,Đạ Huoai,73,6,8,1,1.14
01247,Bảo Lâm,147,15,5,1,7.43
01248,Đam Rông,126,12,15,0,11.12
01249,Lạc Dương,53,9,8,1,2.09
01250,Lâm Hà,63,13,13,0,1.93
01251,Di Linh,73,6,13,0,13.26
01252,Bảo Lâm,174,8,6,1,6.97
01253,Đà Lạt,123,12,13,1,13.53
01254,Bảo Lộc,202,12,13,0,4.29
01255,Đạ Huoai,123,14,14,0,7.5
01256,Lạc Dương,145,10,10,1,3.55
01257,Đà Lạt,216,5,8,1,6.7
01258,Bảo Lâm,125,14,11,1,10.23
01259,Đạ Huoai,228,7,12,1,3.24
01260,Đơn Dương,126,14,12,0,1.62
01261,Đam Rông,193,6,14,1,9.88
01262,Đạ Tẻh,180,6,12,1,3.47
01263,Đơn Dương,216,9,13,0,2.92
01264,Lạc Dương,99,12,11,1,12.75
01265,Đà Lạt,225,6,6,1,11.24
01266,Bảo Lộc,221,15,11,0,11.17
01267,Đạ Huoai,186,5,13,1,8.2
01268,Lâm Hà,122,7,11,1,5.73
01269,Đạ Huoai,140,14,13,1,4.11
01270,Đơn Dương,189,10,15,0,13.33
01271,Đức Trọng,142,9,8,0,6.69
01272,Đạ Huoai,97,12,10,0,3.27
01273,Đà Lạt,191,10,7,0,5.66
01274,Đà Lạt,217,7,14,1,6.89
01275,Lâm Hà,122,15,12,0,6.88
01276,Bảo Lâm,88,8,11,0,10.98
01277,Cát Tiên,103,12,9,1,6.74
01278,Đạ Tẻh,137,5,15,1,7.63
01279,Bảo Lộc,111,10,15,0,1.91
01280,Bảo Lộc,197,14,14,0,6.27
01281,Đơn Dương,162,10,9,1,14.47
01282,Đơn Dương,167,8,14,1,9.74
01283,Bảo Lộc,153,15,13,1,3.29
01284,Đam Rông,98,10,8,1,11.98
01285,Lạc Dương,202,15,7,1,5.31
01286,Đam Rông,236,6,12,0,3.37
01287,Đam Rông,151,6,10,0,8.12
01288,Đơn Dương,198,15,13,1,2.72
01289,Di Linh,156,11,8,0,13.2
01290,Bảo Lộc,77,15,8,1,5.4
01291,Di Linh,211,15,14,0,8.88
01292,Bảo Lộc,101,7,10,1,2.18
01293,Di Linh,121,12,15,1,11.38
01294,Đà Lạt,180,12,7,1,9.99
01295,Bảo Lâm,187,12,13,0,13.08
01296,Đơn Dương,208,14,13,0,4.44
01297,Cát Tiên,189,8,5,0,14.18
01298,Đà Lạt,74,8,8,1,3.38
01299,Đức Trọng,197,8,7,0,14.73
01300,Lâm Hà,68,14,9,0,7.47
01301,Đam Rông,243,5,5,0,7.46
01302,Cát Tiên,138,8,11,0,9.61
01303,Đà Lạt,139,13,6,0,3.81
01304,Bảo Lộc,112,7,13,0,13.1
01305,Đức Trọng,153,12,6,1,13.74
01306,Lạc Dương,94,5,8,0,10.14
01307,Lâm Hà,181,5,13,1,6.29
01308,Đạ Huoai,194,7,5,0,12.43
01309,Lạc Dương,176,9,14,0,12.26
01310,Lạc Dương,249,7,8,1,12.21
01311,Cát Tiên,161,5,13,1,11.26
01312,Đơn Dương,200,6,6,0,2.8
01313,Đức Trọng,150,5,9,0,10.65
01314,Đà Lạt,183,5,14,1,4.23
01315,Lâm Hà,103,9,6,1,8.49
01316,Đạ Tẻh,198,9,8,1,6.11
01317,Cát Tiên,206,5,10,0,2.84
01318,Lâm Hà,189,10,6,1,9.79
01319,Cát Tiên,88,15,11,0,11.69
01320,Đức Trọng,71,8,11,0,11.36
01321,Lạc Dương,175,5,12,0,10.96
01322,Lạc Dương,137,11,10,1,14.24
01323,Đạ Huoai,184,6,5,1,5.22
01324,Đạ Huoai,181,15,11,0,1.33
01325,Đạ Huoai,151,10,9,1,3.85
01326,Cát Tiên,83,8,10,1,13.79
01327,Di Linh,72,8,15,1,9.62
01328,Đơn Dương,128,10,15,0,11.03
01329,Di Linh,53,8,11,0,6.98
01330,Cát Tiên,129,6,15,0,4.71
01331,Đạ Huoai,226,13,6,0,9.99
01332,Đạ Tẻh,71,14,12,1,12.59
01333,Di Linh,230,13,8,0,9.52
01334,Đà Lạt,149,13,11,0,14.63
01335,Đơn Dương,119,5,13,0,8.95
01336,Đức Trọng,97,15,9,1,5.4
01337,Đà Lạt,183,9,9,1,10.6
01338,Đạ Huoai,81,7,7,0,5.91
01339,Đức Trọng,100,11,8,1,13.49
01340,Đam Rông,98,5,11,0,3.8
01341,Đạ Tẻh,126,13,5,1,3.06
01342,Bảo Lâm,250,10,5,1,11.99
01343,Đơn Dương,104,12,14,1,3.03
01344,Đạ Tẻh,231,13,11,1,4.91
01345,Đam Rông,187,6,7,1,6.93
01346,Đạ Tẻh,129,7,5,0,14.71
01347,Di Linh,112,10,6,1,11.67
01348,Cát Tiên,182,14,14,1,12.76
01349,Bảo Lâm,198,15,5,1,10.88
01350,Bảo Lộc,89,13,10,1,14.08
01351,Lâm Hà,237,14,5,1,14.77
01352,Đức Trọng,230,15,6,1,3.95
01353,Đạ Tẻh,74,5,5,0,13.53
01354,Đạ Huoai,179,12,15,0,3.65
01355,Đam Rông,108,14,11,1,14.29
01356,Đam Rông,70,6,11,1,8.87
01357,Bảo Lâm,170,13,12,1,13.73
01358,Bảo Lộc,176,12,11,1,6.32
01359,Đà Lạt,61,12,15,1,5.2
01360,Đạ Tẻh,82,11,13,1,4.57
01361,Đạ Tẻh,163,13,13,0,6.4
01362,Bảo Lộc,107,9,12,1,7.8
01363,Lâm Hà,107,11,5,0,2.74
01364,Lâm Hà,91,8,10,1,8.7
01365,Đạ Tẻh,188,11,7,1,13.24
01366,Cát Tiên,131,11,5,1,7.73
01367,Đam Rông,74,10,5,0,3.44
01368,Lâm Hà,110,14,5,0,3.57
01369,Đức Trọng,154,12,5,1,3.38
01370,Đạ Huoai,203,11,8,0,7.14
01371,Lâm Hà,202,10,11,1,5.63
01372,Lâm Hà,176,15,12,1,9.37
01373,Bảo Lâm,86,15,15,0,2.54
01374,Di Linh,66,11,10,1,12.46
01375,Di Linh,143,8,6,0,12.15
01376,Di Linh,216,7,6,1,8.14
01377,Đức Trọng,86,5,15,1,6.86
01378,Lạc Dương,161,11,11,0,13.84
01379,Đạ Huoai,231,10,9,1,11.5
01380,Bảo Lộc,75,8,14,0,1.88
01381,Di Linh,206,13,15,0,7.82
01382,Lâm Hà,241,12,10,0,13.79
01383,Đạ Huoai,214,6,10,1,5.78
01384,Di Linh,206,7,15,1,10.42
01385,Đà Lạt,107,7,11,1,6.97
01386,Đạ Tẻh,235,8,12,1,14.6
01387,Cát Tiên,122,15,5,0,4.58
01388,Bảo Lâm,61,6,13,1,11.2
01389,Đam Rông,183,7,14,1,5.49
01390,Đạ Huoai,210,6,5,1,12.08
01391,Bảo Lâm,57,7,11,1,5.73
01392,Đơn Dương,60,13,11,0,0.85
01393,Lâm Hà,89,9,6,1,2.53
01394,Đà Lạt,127,12,13,0,14.72
01395,Đạ Tẻh,240,5,9,1,11.65
01396,Di Linh,191,15,7,1,1.85
01397,Bảo Lộc,246,10,10,0,11.24
01398,Đức Trọng,72,13,6,0,8.91
01399,Đơn Dương,196,14,14,1,8.9
01400,Cát Tiên,219,11,11,0,4.52
01401,Cát Tiên,145,13,8,0,2.87
01402,Đạ Tẻh,52,15,8,0,12.26
01403,Bảo Lộc,80,6,5,0,4.4
01404,Lạc Dương,152,12,7,1,12.77
01405,Đà Lạt,110,12,11,1,10.21
01406,Đức Trọng,138,12,15,0,3.95
01407,Đạ Huoai,176,15,13,0,5.8
01408,Đạ Huoai,104,15,7,0,5.98
01409,Đạ Huoai,231,8,11,1,3.97
01410,Bảo Lâm,57,12,10,1,5.85
01411,Đà Lạt,111,9,15,1,2.45
01412,Đạ Tẻh,175,7,5,1,14.0
01413,Lạc Dương,199,9,12,1,5.34
01414,Cát Tiên,216,15,12,0,5.58
01415,Lạc Dương,230,15,10,1,2.03
01416,Đạ Tẻh,77,14,7,0,13.6
01417,Bảo Lâm,88,12,7,1,7.32
01418,Cát Tiên,51,9,10,1,5.83
01419,Đam Rông,67,10,5,0,13.35
01420,Đơn Dương,201,15,13,1,3.1
01421,Bảo Lâm,207,10,9,1,1.75
01422,Bảo Lộc,224,7,11,1,1.75
01423,Đạ Huoai,90,11,15,0,13.13
01424,Di Linh,55,13,10,1,14.86
01425,Di Linh,216,8,9,1,4.06
01426,Di Linh,195,13,8,0,6.43
01427,Lâm Hà,246,10,10,0,14.41
01428,Đà Lạt,53,5,5,0,9.92
01429,Đạ Tẻh,229,7,11,0,12.09
01430,Lạc Dương,63,12,9,0,10.62
01431,Bảo Lộc,218,11,12,0,6.12
01432,Đạ Tẻh,178,10,9,0,4.1
01433,Đức Trọng,164,13,14,1,4.81
01434,Bảo Lâm,75,15,14,1,1.84
01435,Đức Trọng,133,8,12,1,12.41
01436,Cát Tiên,117,15,6,1,10.38
01437,Bảo Lâm,80,7,13,0,4.1
01438,Đam Rông,194,15,9,0,9.87
01439,Đam Rông,245,10,9,1,1.12
01440,Bảo Lộc,52,6,6,1,7.83
01441,Bảo Lâm,113,11,15,1,14.31
01442,Đạ Tẻh,110,9,9,0,2.99
01443,Lâm Hà,79,5,12,1,12.04
01444,Đức Trọng,197,6,11,0,9.77
01445,Cát Tiên,130,8,8,1,12.53
01446,Đơn Dương,60,9,14,0,7.19
01447,Cát Tiên,165,10,13,1,1.25
01448,Đạ Tẻh,75,6,8,1,3.67
01449,Bảo Lâm,92,6,10,0,12.86
01450,Đam Rông,93,15,7,1,6.86
01451,Bảo Lâm,55,14,8,0,10.68
01452,Đà Lạt,101,9,8,0,3.45
01453,Đơn Dương,246,9,6,1,9.2
01454,Đơn Dương,224,9,7,0,7.42
01455,Đam Rông,200,11,5,1,13.49
01456,Đam Rông,190,6,8,0,9.14
01457,Bảo Lộc,241,9,5,1,11.3
01458,Đơn Dương,219,8,14,0,13.93
01459,Bảo Lộc,51,7,15,0,8.12
01460,Đam Rông,170,7,15,0,8.29
01461,Cát Tiên,100,11,9,1,4.2
01462,Lạc Dương,65,5,10,1,2.34
01463,Đức Trọng,222,6,13,0,5.84
01464,Bảo Lâm,221,9,14,0,12.65
01465,Đơn Dương,139,8,7,0,1.13
01466,Đơn Dương,163,9,9,1,13.17
01467,Bảo Lâm,82,7,12,1,10.12
01468,Lâm Hà,139,6,8,1,14.83
01469,Bảo Lộc,135,9,9,0,4.4
01470,Bảo Lộc,124,12,15,1,12.69
01471,Lâm Hà,131,13,5,1,0.91
01472,Di Linh,194,15,13,0,7.76
01473,Bảo Lâm,136,15,6,0,14.83
01474,Bảo Lộc,169,8,11,1,2.26
01475,Lâm Hà,57,5,14,1,11.18
01476,Lâm Hà,187,11,11,0,11.9
01477,Lâm Hà,126,12,15,1,5.67
01478,Đà Lạt,118,5,8,1,2.21
01479,Đạ Huoai,161,6,9,1,5.63
01480,Cát Tiên,198,5,9,0,1.33
01481,Bảo Lộc,243,13,14,0,11.6
01482,Đạ Huoai,77,9,6,0,13.59
01483,Đà Lạt,203,14,5,0,4.77
01484,Đạ Huoai,226,6,12,0,14.68
01485,Cát Tiên,234,5,15,0,14.46
01486,Đạ Tẻh,147,8,13,0,1.17
01487,Bảo Lâm,80,15,10,1,1.0
01488,Lâm Hà,194,5,11,0,13.47
01489,Đạ Tẻh,183,7,14,1,2.62
01490,Di Linh,95,6,6,1,3.48
01491,Lạc Dương,88,6,12,1,1.91
01492,Cát Tiên,248,15,5,1,8.91
01493,Đam Rông,225,5,13,0,9.46
01494,Đam Rông,78,9,9,0,0.9
01495,Đức Trọng,116,13,15,1,7.04
01496,Di Linh,177,9,5,0,1.97
01497,Cát Tiên,234,15,8,1,2.69
01498,Lạc Dương,173,8,13,1,5.38
01499,Đạ Huoai,153,9,11,1,9.55
01500,Bảo Lộc,117,11,15,1,11.43
01501,Bảo Lâm,171,12,11,1,2.65
01502,Đà Lạt,141,9,11,1,9.54
01503,Lâm Hà,103,8,10,0,6.82
01504,Di Linh,50,8,6,1,12.16
01505,Di Linh,69,12,13,0,3.36
01506,Đạ Tẻh,89,5,7,1,4.45
01507,Đam Rông,194,6,6,1,11.1
01508,Di Linh,169,15,11,0,12.82
01509,Bảo Lâm,55,13,5,1,13.32
01510,Đạ Tẻh,85,12,9,0,12.18
01511,Bảo Lộc,227,5,5,1,0.83
01512,Lạc Dương,152,15,5,1,12.67
01513,Đơn Dương,210,14,9,0,6.31
01514,Đạ Huoai,161,10,13,1,3.22
01515,Cát Tiên,225,10,8,1,8.3
01516,Bảo Lâm,166,15,13,0,9.15
01517,Đà Lạt,234,11,5,1,10.31
01518,Di Linh,234,12,13,1,1.12
01519,Đam Rông,172,12,10,1,14.37
01520,Lạc Dương,170,11,10,0,3.62
01521,Bảo Lâm,223,8,6,1,6.33
01522,Lạc Dương,231,13,5,1,1.1
01523,Lạc Dương,197,12,13,1,3.67
01524,Đam Rông,172,14,15,0,13.13
01525,Đà Lạt,213,8,7,0,11.22
01526,Đức Trọng,231,11,13,1,5.04
01527,Đà Lạt,139,9,7,0,5.89
01528,Đà Lạt,179,15,13,0,14.83
01529,Cát Tiên,57,12,7,1,10.72
01530,Lạc Dương,179,7,14,0,7.36
01531,Đạ Huoai,133,9,10,1,14.46
01532,Bảo Lộc,137,10,13,0,9.49
01533,Bảo Lộc,207,11,9,0,7.24
01534,Di Linh,209,10,14,0,7.14
01535,Đà Lạt,247,10,10,1,13.2
01536,Đạ Huoai,237,7,8,0,4.96
01537,Đạ Tẻh,52,6,9,1,7.78
01538,Bảo Lâm,231,12,14,0,6.41
01539,Đạ Tẻh,104,8,15,0,5.19
01540,Lạc Dương,128,12,7,1,8.85
01541,Đam Rông,215,10,5,1,14.25
01542,Lạc Dương,53,7,12,1,5.67
01543,Đạ Huoai,194,9,12,1,1.39
01544,Đam Rông,204,15,13,0,10.23
01545,Lạc Dương,168,13,9,0,10.39
01546,Bảo Lộc,180,5,6,0,9.64
01547,Đà Lạt,76,5,12,0,1.02
01548,Cát Tiên,102,13,6,0,6.06
01549,Cát Tiên,93,11,11,0,11.07
01550,Đam Rông,241,13,11,0,10.8
01551,Cát Tiên,188,7,10,0,6.45
01552,Bảo Lộc,249,7,5,0,9.38
01553,Di Linh,59,7,12,1,4.78
01554,Đà Lạt,100,14,7,1,4.68
01555,Bảo Lộc,209,13,13,0,11.13
01556,Di Linh,83,14,15,1,14.05
01557,Di Linh,65,11,13,1,0.83
01558,Lạc Dương,129,15,10,1,8.71
01559,Đức Trọng,138,9,9,0,13.88
01560,Lạc Dương,214,14,15,1,7.93
01561,Di Linh,153,15,14,0,4.03
01562,Đơn Dương,232,13,15,0,3.6
01563,Đạ Tẻh,196,9,8,1,12.86
01564,Bảo Lâm,76,9,8,1,7.17
01565,Lâm Hà,82,11,12,0,9.22
01566,Đức Trọng,87,7,8,0,9.97
01567,Di Linh,70,12,14,1,12.38
01568,Cát Tiên,165,11,13,1,1.6
01569,Lâm Hà,50,8,10,0,7.22
01570,Lạc Dương,245,15,10,1,12.1
01571,Cát Tiên,105,6,5,1,5.96
01572,Lạc Dương,172,7,5,1,8.96
01573,Lạc Dương,87,15,7,0,2.38
01574,Đam Rông,241,14,9,0,13.43
01575,Cát Tiên,216,11,9,0,6.72
01576,Đam Rông,168,12,8,0,1.17
01577,Cát Tiên,161,5,12,0,7.67
01578,Di Linh,103,5,8,0,14.76
01579,Bảo Lâm,188,8,8,0,2.31
01580,Đà Lạt,250,8,10,1,2.78
01581,Đạ Huoai,79,11,12,0,11.05
01582,Lâm Hà,70,10,10,0,7.74
01583,Đức Trọng,115,7,11,1,12.35
01584,Lạc Dương,233,12,11,0,9.62
01585,Đam Rông,128,10,12,0,14.4
01586,Đam Rông,132,12,11,0,1.17
01587,Lạc Dương,153,15,12,0,10.6
01588,Đơn Dương,104,13,12,1,14.91
01589,Đức Trọng,152,12,13,0,10.31
01590,Bảo Lâm,167,13,15,1,11.94
01591,Đạ Huoai,207,11,15,0,2.08
01592,Đơn Dương,73,13,11,0,7.53
01593,Đơn Dương,182,14,12,1,13.61
01594,Di Linh,238,7,5,0,6.01
01595,Đam Rông,212,13,6,1,7.15
01596,Cát Tiên,227,8,14,1,4.83
01597,Đạ Tẻh,245,7,15,0,3.91
01598,Đam Rông,177,9,15,0,6.67
01599,Đạ Huoai,99,10,5,0,11.93
01600,Đạ Tẻh,186,5,9,1,5.16
01601,Lâm Hà,83,13,7,1,7.69
01602,Đức Trọng,82,15,9,0,6.81
01603,Đam Rông,185,9,12,0,9.55
01604,Đức Trọng,118,7,7,1,9.61
01605,Đạ Tẻh,161,10,7,1,9.77
01606,Cát Tiên,164,14,10,0,8.76
01607,Bảo Lộc,213,13,8,0,2.32
01608,Cát Tiên,236,9,7,1,1.8
01609,Di Linh,129,7,6,1,12.7
01610,Đạ Huoai,165,14,11,1,14.75
01611,Lâm Hà,170,12,13,0,13.86
01612,Đức Trọng,219,8,6,1,8.46
01613,Đức Trọng,224,10,9,0,5.59
01614,Bảo Lộc,162,13,11,1,5.11
01615,Đơn Dương,217,9,6,0,3.58
01616,Bảo Lộc,54,9,5,0,11.58
01617,Đam Rông,119,8,9,0,10.15
01618,Đam Rông,99,13,6,0,8.96
01619,Bảo Lâm,85,8,11,1,14.51
01620,Đạ Tẻh,129,5,6,1,1.03
01621,Bảo Lâm,103,11,8,1,3.83
01622,Lâm Hà,205,9,10,1,12.74
01623,Đức Trọng,158,10,9,1,6.23
01624,Đức Trọng,76,14,15,1,5.95
01625,Lâm Hà,79,8,9,1,3.06
01626,Bảo Lâm,171,13,5,0,14.01
01627,Cát Tiên,50,14,15,1,0.87
01628,Đam Rông,132,11,13,0,3.72
01629,Lạc Dương,104,6,10,1,12.42
01630,Bảo Lộc,229,13,11,0,6.66
01631,Đam Rông,150,12,13,1,13.77
01632,Bảo Lâm,174,14,11,0,2.3
01633,Đức Trọng,71,8,7,0,9.2
01634,Lạc Dương,201,9,6,0,10.15
01635,Đạ Huoai,116,14,15,1,12.61
01636,Đơn Dương,113,6,9,1,14.57
01637,Di Linh,114,6,13,0,10.85
01638,Bảo Lộc,215,5,6,0,7.72
01639,Đức Trọng,145,15,12,1,7.74
01640,Đạ Huoai,244,15,5,1,7.11
01641,Bảo Lộc,126,10,8,1,7.4
01642,Bảo Lộc,119,11,11,1,11.42
01643,Lâm Hà,175,8,12,0,9.48
01644,Đức Trọng,136,10,12,0,1.15
01645,Đà Lạt,66,8,12,0,6.56
01646,Đạ Huoai,147,13,15,0,2.88
01647,Đơn Dương,66,10,8,1,11.03
01648,Đạ Tẻh,63,5,14,1,5.65
01649,Đam Rông,179,9,12,1,8.63
01650,Đam Rông,207,6,8,1,5.09
01651,Đà Lạt,70,11,13,1,12.59
01652,Bảo Lâm,220,12,10,0,12.53
01653,Đạ Huoai,176,15,9,1,10.4
01654,Bảo Lộc,78,12,5,1,6.4
01655,Cát Tiên,231,6,6,1,4.34
01656,Đạ Huoai,218,10,7,0,8.86
01657,Di Linh,180,10,7,0,6.5
01658,Đam Rông,200,12,6,0,10.35
01659,Di Linh,168,10,5,1,5.2
01660,Đơn Dương,68,8,6,1,7.06
01661,Lâm Hà,218,9,6,1,5.73
01662,Đà Lạt,152,10,13,0,8.28
01663,Đức Trọng,65,9,7,0,2.13
01664,Đạ Tẻh,69,7,9,1,4.27
01665,Di Linh,159,13,12,0,8.7
01666,Lạc Dương,182,6,15,0,11.55
01667,Đức Trọng,185,15,6,0,8.65
01668,Đơn Dương,151,8,15,1,1.09
01669,Bảo Lộc,156,12,8,1,5.71
01670,Di Linh,110,10,7,1,4.16
01671,Bảo Lộc,187,10,5,1,6.44
01672,Đà Lạt,72,7,15,0,10.74
01673,Bảo Lộc,101,15,12,1,12.47
01674,Đơn Dương,166,15,15,1,11.01
01675,Đạ Huoai,152,10,15,0,2.53
01676,Đạ Huoai,245,13,6,0,1.81
01677,Đạ Tẻh,93,6,5,1,13.53
01678,Di Linh,121,6,8,1,4.02
01679,Đam Rông,228,9,10,0,8.25
01680,Đạ Huoai,181,9,11,1,13.45
01681,Cát Tiên,154,12,5,1,2.69
01682,Lâm Hà,164,5,8,0,5.98
01683,Đà Lạt,71,5,5,1,14.42
01684,Cát Tiên,94,7,8,0,7.7
01685,Đạ Huoai,206,11,11,0,14.68
01686,Đà Lạt,87,15,7,1,14.35
01687,Cát Tiên,52,5,5,1,9.0
01688,Đơn Dương,164,8,5,0,4.8
01689,Lạc Dương,202,7,14,0,14.74
01690,Đạ Tẻh,160,5,12,0,10.63
01691,Đam Rông,197,13,15,1,13.66
01692,Bảo Lâm,102,9,7,1,5.36
01693,Đạ Huoai,194,10,7,0,2.49
01694,Đơn Dương,239,12,8,0,1.49
01695,Di Linh,102,11,7,0,11.15
01696,Lâm Hà,234,9,12,0,1.2
01697,Di Linh,246,13,13,1,4.2
01698,Đà Lạt,162,12,6,0,8.56
01699,Lạc Dương,100,6,10,1,8.48
01700,Đơn Dương,192,8,13,1,10.59
01701,Di Linh,123,15,5,0,1.83
01702,Di Linh,228,11,9,1,11.12
01703,Đơn Dương,237,7,10,1,14.07
01704,Đà Lạt,89,14,5,1,11.08
01705,Bảo Lâm,74,13,6,1,11.36
01706,Cát Tiên,187,11,13,1,1.72
01707,Bảo Lâm,113,12,10,0,11.19
01708,Bảo Lộc,212,10,7,0,5.0
01709,Di Linh,198,15,13,0,2.26
01710,Lâm Hà,221,11,11,0,6.36
01711,Lâm Hà,101,9,15,1,7.22
01712,Lạc Dương,59,15,14,0,7.96
01713,Bảo Lộc,234,14,10,0,9.73
01714,Đam Rông,88,7,15,0,6.2
01715,Đam Rông,233,15,11,0,1.36
01716,Cát Tiên,97,6,15,1,10.89
01717,Bảo Lộc,230,14,10,1,7.81
01718,Di Linh,157,7,14,1,12.54
01719,Di Linh,140,11,13,1,8.91
01720,Đạ Huoai,163,14,15,0,12.34
01721,Đạ Huoai,53,8,7,0,11.55
01722,Bảo Lộc,238,9,11,0,2.97
01723,Cát Tiên,74,5,6,1,2.86
01724,Bảo Lâm,132,8,12,0,13.41
01725,Đức Trọng,144,13,13,0,2.51
01726,Đức Trọng,246,6,13,1,3.34
01727,Đơn Dương,78,10,7,1,6.08
01728,Cát Tiên,109,5,8,1,14.52
01729,Bảo Lộc,77,13,9,1,4.53
01730,Bảo Lâm,193,11,12,0,1.9
01731,Lâm Hà,87,5,15,1,5.04
01732,Di Linh,64,10,10,1,12.22
01733,Di Linh,106,9,8,0,8.9
01734,Cát Tiên,72,10,8,1,12.91
01735,Đà Lạt,222,13,5,1,13.2
01736,Bảo Lộc,51,8,13,0,1.59
01737,Di Linh,200,5,12,0,12.86
01738,Lạc Dương,127,15,13,0,13.79
01739,Lâm Hà,213,7,15,1,8.08
01740,Đạ Huoai,171,7,15,0,7.8
01741,Lạc Dương,161,7,7,1,1.58
01742,Đơn Dương,74,15,14,0,5.58
01743,Đạ Tẻh,111,9,13,1,14.13
01744,Bảo Lộc,133,7,14,0,1.58
01745,Lâm Hà,207,6,10,0,8.05
01746,Cát Tiên,225,13,12,1,6.92
01747,Đạ Tẻh,137,9,13,1,2.09
01748,Lạc Dương,136,15,11,0,4.26
01749,Bảo Lộc,110,10,8,1,5.78
01750,Di Linh,184,9,13,1,14.08
01751,Đà Lạt,73,9,12,1,1.6
01752,Đam Rông,107,8,15,0,14.92
01753,Lạc Dương,203,11,7,1,5.71
01754,Lâm Hà,243,13,10,0,6.35
01755,Bảo Lâm,119,5,8,0,6.65
01756,Đạ Tẻh,51,8,12,1,11.97
01757,Đà Lạt,124,14,9,1,8.59
01758,Đạ Huoai,79,9,5,1,13.03
01759,Đức Trọng,51,8,7,0,10.96
01760,Đạ Huoai,204,15,11,1,8.02
01761,Đạ Tẻh,158,6,6,0,4.6
01762,Đạ Tẻh,89,10,9,1,8.0
01763,Đà Lạt,95,12,12,1,2.77
01764,Đam Rông,189,13,12,0,12.99
01765,Đà Lạt,58,11,7,0,10.13
01766,Lạc Dương,180,9,12,0,6.85
01767,Đơn Dương,213,8,14,1,10.35
01768,Đức Trọng,92,9,5,0,4.55
01769,Đạ Huoai,193,5,9,0,7.99
01770,Đà Lạt,148,7,8,0,9.07
01771,Bảo Lâm,91,14,7,0,6.32
01772,Đà Lạt,143,15,14,0,11.75
01773,Đơn Dương,190,14,9,1,5.26
01774,Đam Rông,156,8,10,0,8.15
01775,Đạ Tẻh,212,9,14,1,8.75
01776,Bảo Lộc,187,11,13,0,12.15
01777,Đam Rông,231,14,5,1,13.39
01778,Đà Lạt,123,14,11,0,9.46
01779,Đạ Tẻh,171,11,12,0,5.08
01780,Cát Tiên,241,9,11,0,1.41
01781,Bảo Lâm,205,10,5,0,3.6
01782,Đạ Tẻh,64,9,9,0,10.37
01783,Đức Trọng,213,12,7,0,2.52
01784,Bảo Lâm,110,7,5,1,5.57
01785,Đức Trọng,206,13,13,1,11.91
01786,Đạ Huoai,214,5,8,0,4.47
01787,Lâm Hà,90,12,5,0,7.86
01788,Lạc Dương,231,9,10,0,5.23
01789,Lạc Dương,228,11,10,1,12.32
01790,Đà Lạt,214,10,15,0,7.15
01791,Lạc Dương,150,8,9,1,11.39
01792,Lạc Dương,51,9,10,1,4.64
01793,Đơn Dương,176,7,9,0,1.69
01794,Cát Tiên,187,9,15,1,4.22
01795,Bảo Lộc,120,10,5,1,8.38
01796,Đơn Dương,110,12,5,1,5.59
01797,Đơn Dương,161,9,11,0,4.97
01798,Đức Trọng,238,7,9,1,0.96
01799,Bảo Lâm,97,14,14,0,6.38
01800,Di Linh,107,7,13,1,2.89
01801,Đà Lạt,160,12,11,0,12.23
01802,Đà Lạt,244,13,15,0,2.33
01803,Đạ Tẻh,183,13,8,0,1.42
01804,Đà Lạt,93,15,6,0,5.27
01805,Đức Trọng,106,5,10,0,13.52
